iter	RMSE
0	2.062082033
1	1.913310306
2	1.800123075
3	1.715576199
4	1.650409626
5	1.602118187
6	1.567146593
7	1.540582084
8	1.519572721
9	1.502060251
10	1.487908131
11	1.477063272
12	1.467816753
13	1.460020956
14	1.452583318
15	1.446975354
16	1.442288739
17	1.434360499
18	1.430460706
19	1.426531896
20	1.420406483
21	1.417126482
22	1.414169193
23	1.408979141
24	1.405035237
25	1.402429734
26	1.398377607
27	1.396461182
28	1.393278043
29	1.390942964
30	1.388810953
31	1.386483535
32	1.384023859
33	1.382297716
34	1.379227572
35	1.377700411
36	1.374437695
37	1.372481499
38	1.371351438
39	1.369974564
40	1.368902546
41	1.367653105
42	1.36575008
43	1.363316025
44	1.361661857
45	1.358513367
46	1.357313423
47	1.35619376
48	1.354564376
49	1.352740134
50	1.351515627
51	1.349558998
52	1.347855734
53	1.346061391
54	1.345339054
55	1.34443137
56	1.339962745
57	1.338725614
58	1.337601314
59	1.335651141
60	1.334336085
61	1.332888365
62	1.332215107
63	1.331348246
64	1.330503589
65	1.329814831
66	1.328809551
67	1.327973076
68	1.327240862
69	1.32592712
70	1.325089993
71	1.32433287
72	1.32239374
73	1.321307175
74	1.320174696
75	1.319403226
76	1.316349557
77	1.314105681
78	1.312607085
79	1.31164566
80	1.310871571
81	1.309816563
82	1.309086094
83	1.308549454
84	1.307917195
85	1.305898031
86	1.305116841
87	1.304408262
88	1.303554756
89	1.302709839
90	1.302067965
91	1.301364311
92	1.300293593
93	1.299693683
94	1.299134312
95	1.298320054
96	1.297357359
97	1.296907618
98	1.296466872
99	1.295907443
100	1.295473064
101	1.294092628
102	1.293464222
103	1.29275437
104	1.291736197
105	1.291127546
106	1.290345581
107	1.289852106
108	1.289182651
109	1.288810031
110	1.288234275
111	1.287381579
112	1.28669136
113	1.285932279
114	1.285394986
115	1.285134578
116	1.284627733
117	1.284211208
118	1.283882007
119	1.283274284
120	1.282813299
121	1.282133049
122	1.281618306
123	1.281158515
124	1.280520399
125	1.280110464
126	1.279325879
127	1.278781269
128	1.277921283
129	1.276906442
130	1.27606165
131	1.275555413
132	1.275173231
133	1.274289485
134	1.273583844
135	1.273220239
136	1.272832977
