iter	Passed	Remaining
0	166	148924
1	339	151801
2	519	154627
3	710	158403
4	894	159479
5	1073	159212
6	1237	157167
7	1428	158605
8	1621	159814
9	1828	162015
10	2000	160929
11	2183	160865
12	2383	161885
13	2552	160812
14	2731	160448
15	2911	160124
16	3083	159431
17	3261	159076
18	3479	160604
19	3650	159880
20	3851	160473
21	4006	159166
22	4145	157360
23	4342	157791
24	4505	156971
25	4693	157058
26	4869	156724
27	5043	156361
28	5228	156300
29	5380	155310
30	5535	154466
31	5717	154373
32	5858	153200
33	6055	153531
34	6227	153184
35	6412	153197
36	6638	154115
37	6829	154199
38	7005	153938
39	7190	153869
40	7367	153638
41	7552	153565
42	7718	153107
43	7896	152912
44	8113	153434
45	8334	153999
46	8509	153720
47	8689	153522
48	8854	153055
49	9029	152777
50	9210	152613
51	9398	152545
52	9608	152826
53	9808	152944
54	9984	152676
55	10168	152525
56	10399	153068
57	10589	152999
58	10736	152316
59	10924	152215
60	11099	151931
61	11298	151980
62	11467	151624
63	11667	151680
64	11843	151415
65	12002	150934
66	12200	150958
67	12382	150776
68	12568	150641
69	12768	150669
70	12972	150738
71	13147	150468
72	13311	150073
73	13500	149962
74	13681	149767
75	13902	149995
76	14106	150045
77	14285	149813
78	14468	149626
79	14678	149719
80	14871	149632
81	15091	149806
82	15293	149805
83	15546	150280
84	15724	150030
85	15911	149864
86	16080	149529
87	16293	149599
88	16468	149328
89	16678	149361
90	16881	149338
91	17088	149342
92	17274	149158
93	17451	148896
94	17631	148657
95	17820	148501
96	18052	148698
97	18237	148501
98	18416	148260
99	18577	147873
100	18730	147433
101	18887	147027
102	19061	146756
103	19231	146458
104	19383	146022
105	19536	145602
106	19717	145396
107	19915	145307
108	20111	145209
109	20319	145189
110	20491	144917
111	20668	144682
112	20828	144322
113	21022	144206
114	21216	144087
115	21484	144465
116	21658	144207
117	21833	143953
118	22041	143916
119	22212	143640
120	22427	143644
121	22642	143648
122	22818	143402
123	23003	143216
124	23224	143251
125	23398	142993
126	23640	143148
127	23793	142761
128	23982	142592
129	24225	142742
130	24447	142763
131	24669	142785
132	24845	142536
133	25022	142292
134	25186	141975
135	25391	141892
136	25562	141618
137	25749	141437
138	25928	141209
139	26101	140949
140	26295	140799
141	26493	140674
142	26699	140591
143	26888	140416
144	27107	140396
145	27333	140409
146	27581	140533
147	27754	140275
148	27957	140164
149	28125	139877
